date,session,direction,outcome,pnl,bars_held,h4_up,h4_down,h4_bull_st,h4_bear_st,weekly_up,atr_regime,dist_high,dow,month,atr,s_range
2023-03-10 00:00:00+00:00,london,long,loss,-100.0,1,True,False,False,True,False,1.1055125282031952,0.9887841445490129,4,3,2.09676119365723,6.471499999999878
2023-03-10 00:00:00+00:00,ny,long,win,100.0,244,True,False,True,False,False,1.7646767230845815,0.23355920831934301,4,3,3.9825836607637104,13.306500000000142
2023-03-13 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,True,True,0.935615495758144,0.6323138426776441,0,3,3.0658971979031904,9.9699999999998
2023-03-13 00:00:00+00:00,asian,short,loss,-100.0,6,True,False,False,True,True,0.935615495758144,0.6323138426776441,0,3,3.0658971979031904,9.9699999999998
2023-03-13 00:00:00+00:00,london,long,loss,-100.0,1,True,False,False,True,True,1.0468244773203985,0.974681621591373,0,3,3.775287031575533,18.311500000000024
2023-03-13 00:00:00+00:00,ny,long,loss,-100.0,29,True,False,True,False,True,1.0528313396014022,0.4353882704242416,0,3,4.320708762424906,10.057000000000016
2023-03-13 00:00:00+00:00,ny,short,loss,-100.0,14,True,False,True,False,True,1.0528313396014022,0.4353882704242416,0,3,4.320708762424906,10.057000000000016
2023-03-14 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,True,True,0.5592324120061959,0.6103376430930435,1,3,1.9593190445761413,5.528500000000122
2023-03-14 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,False,True,True,0.5592324120061959,0.6103376430930435,1,3,1.9593190445761413,5.528500000000122
2023-03-14 00:00:00+00:00,london,long,loss,-100.0,1,True,False,False,True,True,0.8270669855951573,0.10142624116441794,1,3,2.822675759074215,12.595000000000027
2023-03-14 00:00:00+00:00,london,short,loss,-100.0,1,True,False,False,True,True,0.8270669855951573,0.10142624116441794,1,3,2.822675759074215,12.595000000000027
2023-03-14 00:00:00+00:00,ny,long,loss,-100.0,1,True,False,False,True,True,1.0425275496012323,0.5479919652351979,1,3,3.169126972102303,7.962999999999965
2023-03-14 00:00:00+00:00,ny,short,loss,-100.0,5,True,False,False,True,True,1.0425275496012323,0.5479919652351979,1,3,3.169126972102303,7.962999999999965
2023-03-15 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,False,True,0.5557772033768462,0.6177397190085502,2,3,1.4636482146221717,5.920000000000073
2023-03-15 00:00:00+00:00,asian,short,loss,-100.0,11,True,False,False,False,True,0.5557772033768462,0.6177397190085502,2,3,1.4636482146221717,5.920000000000073
2023-03-15 00:00:00+00:00,london,long,loss,-100.0,1,True,False,False,True,True,1.4722860305952974,0.957021054463191,2,3,3.7826152887430506,24.13350000000014
2023-03-15 00:00:00+00:00,ny,long,win,100.0,73,True,False,True,False,True,1.7351724869704617,0.16674480261870608,2,3,5.363162979618136,15.785000000000082
2023-03-15 00:00:00+00:00,ny,short,loss,-100.0,1,True,False,True,False,True,1.7351724869704617,0.16674480261870608,2,3,5.363162979618136,15.785000000000082
2023-03-16 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,False,True,0.6985061955407216,1.2630010975800954,3,3,2.686253804207856,9.566500000000133
2023-03-16 00:00:00+00:00,london,long,loss,-100.0,16,True,False,False,False,True,0.7269636205398198,1.0804719434669552,3,3,2.9634451156660107,7.310000000000173
2023-03-16 00:00:00+00:00,london,short,loss,-100.0,1,True,False,False,False,True,0.7269636205398198,1.0804719434669552,3,3,2.9634451156660107,7.310000000000173
2023-03-16 00:00:00+00:00,ny,long,win,100.0,65,True,False,False,False,True,1.2008281511123875,0.9750325275771031,3,3,4.570489892235301,10.988499999999704
2023-03-17 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,False,True,0.6107902773455905,0.5021306836602545,4,3,1.8793484529035105,5.739499999999907
2023-03-17 00:00:00+00:00,london,long,loss,-100.0,1,True,False,True,False,True,0.7555684892278915,0.3642446113787422,4,3,2.216573937399656,6.149999999999864
2023-03-17 00:00:00+00:00,ny,long,loss,-100.0,23,True,False,True,False,True,1.5323425603899448,0.2852920709473759,4,3,4.401815701293871,19.840000000000146
2023-03-17 00:00:00+00:00,ny,short,loss,-100.0,110,True,False,True,False,True,1.5323425603899448,0.2852920709473759,4,3,4.401815701293871,19.840000000000146
2023-03-20 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,True,True,0.9088280668654695,0.883368679229018,0,3,3.1365167153888787,16.03950000000009
2023-03-20 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,False,True,True,0.9088280668654695,0.883368679229018,0,3,3.1365167153888787,16.03950000000009
2023-03-20 00:00:00+00:00,london,short,loss,-100.0,1,True,False,True,False,True,1.4675744235593564,0.3121880614893133,0,3,5.967116076761183,32.22499999999991
2023-03-20 00:00:00+00:00,ny,long,loss,-100.0,5,True,False,False,True,True,0.9639596625809074,1.821005010360145,0,3,4.54195542156868,13.748499999999694
2023-03-20 00:00:00+00:00,ny,short,loss,-100.0,1,True,False,False,True,True,0.9639596625809074,1.821005010360145,0,3,4.54195542156868,13.748499999999694
2023-03-21 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,False,True,0.47656220824563406,1.3059837848327491,1,3,1.9350829565673011,5.115000000000009
2023-03-21 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,False,False,True,0.47656220824563406,1.3059837848327491,1,3,1.9350829565673011,5.115000000000009
2023-03-21 00:00:00+00:00,london,long,loss,-100.0,1,True,False,False,True,True,0.7889548611075609,2.0034206599742133,1,3,2.9272853860929127,7.998499999999694
2023-03-21 00:00:00+00:00,london,short,loss,-100.0,1,True,False,False,True,True,0.7889548611075609,2.0034206599742133,1,3,2.9272853860929127,7.998499999999694
2023-03-21 00:00:00+00:00,ny,long,loss,-100.0,1,False,False,False,True,True,1.3465156882568803,3.1633923186490205,1,3,4.312533534861076,16.62999999999988
2023-03-21 00:00:00+00:00,ny,short,loss,-100.0,1,False,False,False,True,True,1.3465156882568803,3.1633923186490205,1,3,4.312533534861076,16.62999999999988
2023-03-22 00:00:00+00:00,asian,long,loss,-100.0,3,False,True,False,False,True,0.6817667072286138,3.618666109869478,2,3,2.0286982204950816,3.973500000000058
2023-03-22 00:00:00+00:00,asian,short,loss,-100.0,1,False,True,False,False,True,0.6817667072286138,3.618666109869478,2,3,2.0286982204950816,3.973500000000058
2023-03-22 00:00:00+00:00,london,long,win,100.0,56,False,True,False,True,True,0.9010357457308796,3.6090245331393724,2,3,2.6556045607850605,6.1104999999997744
2023-03-22 00:00:00+00:00,london,short,loss,-100.0,1,False,True,False,True,True,0.9010357457308796,3.6090245331393724,2,3,2.6556045607850605,6.1104999999997744
2023-03-22 00:00:00+00:00,ny,long,loss,-100.0,1,False,True,False,False,True,1.0973792852338218,3.208236097913168,2,3,2.9842017969793173,6.9050000000002
2023-03-23 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,True,False,True,0.7895948594598753,1.6659753556036636,3,3,2.7603732155159895,7.560000000000173
2023-03-23 00:00:00+00:00,asian,short,loss,-100.0,1,True,False,True,False,True,0.7895948594598753,1.6659753556036636,3,3,2.7603732155159895,7.560000000000173
2023-03-23 00:00:00+00:00,london,long,loss,-100.0,1,True,False,True,False,True,0.8508449752589695,1.6641754617581124,3,3,3.1185451019917187,6.414499999999862
2023-03-23 00:00:00+00:00,london,short,loss,-100.0,1,True,False,True,False,True,0.8508449752589695,1.6641754617581124,3,3,3.1185451019917187,6.414499999999862
2023-03-23 00:00:00+00:00,ny,long,loss,-100.0,4,True,False,False,False,True,1.0506714300159474,1.1123915372261828,3,3,4.14450972390609,21.942999999999984
2023-03-23 00:00:00+00:00,ny,short,loss,-100.0,12,True,False,False,False,True,1.0506714300159474,1.1123915372261828,3,3,4.14450972390609,21.942999999999984
2023-03-24 00:00:00+00:00,asian,long,loss,-100.0,1,True,False,False,True,True,0.6483638150348946,0.5250424447152444,4,3,2.1902456338998304,4.157000000000153
2023-03-24 00:00:00+00:00,asian,short,loss,-100.0,8,True,False,False,True,True,0.6483638150348946,0.5250424447152444,4,3,2.1902456338998304,4.157000000000153
2023-03-24 00:00:00+00:00,london,long,loss,-100.0,1,True,False,False,True,True,1.0437850406471207,0.6926119714309998,4,3,3.450579260791851,19.090000000000146
2023-03-24 00:00:00+00:00,london,short,loss,-100.0,295,True,False,False,True,True,1.0437850406471207,0.6926119714309998,4,3,3.450579260791851,19.090000000000146
2023-03-24 00:00:00+00:00,ny,long,loss,-100.0,1,True,False,True,False,True,1.3237785645817484,0.8040777509975505,4,3,4.572273067139944,20.08999999999969
2023-03-24 00:00:00+00:00,ny,short,loss,-100.0,1,True,False,True,False,True,1.3237785645817484,0.8040777509975505,4,3,4.572273067139944,20.08999999999969
2023-03-27 00:00:00+00:00,asian,long,win,100.0,3,False,False,False,False,True,0.6549777476876631,1.449132249997271,0,3,2.1808115825950867,7.679500000000189
2023-03-27 00:00:00+00:00,asian,short,loss,-100.0,1,False,False,False,False,True,0.6549777476876631,1.449132249997271,0,3,2.1808115825950867,7.679500000000189
2023-03-27 00:00:00+00:00,london,long,loss,-100.0,24,False,True,False,True,True,0.9797342214213833,1.6428459083598252,0,3,3.310731622175103,24.05500000000029
2023-03-27 00:00:00+00:00,london,short,loss,-100.0,1,False,True,False,True,True,0.9797342214213833,1.6428459083598252,0,3,3.310731622175103,24.05500000000029
2023-03-27 00:00:00+00:00,ny,long,loss,-100.0,15,False,True,False,True,True,1.0125385645256018,2.3712981202844214,0,3,3.343563106834946,8.7199999999998
2023-03-28 00:00:00+00:00,asian,long,loss,-100.0,1,False,True,True,False,True,0.6151577222738667,2.2250343794728407,1,3,1.6517264697750835,4.424999999999727
