date,direction,session,pnl,outcome,reason,hour,dow,atr,spike,strategy
2022-03-22 00:00:00+00:00,long,london,-99.99999999999648,loss,sl,8,1,2.351478573570491,7.614999999999782,S2_Fade
2022-04-27 00:00:00+00:00,long,london,-100.00000000000394,loss,sl,8,2,3.1902733002596424,11.13599999999974,S2_Fade
2022-06-07 00:00:00+00:00,short,london,-100.00000000000648,loss,sl,8,1,2.013586688566777,3.5499999999999545,S2_Fade
2022-07-06 00:00:00+00:00,short,london,250.0,win,tp,8,2,2.4260015540139137,3.9845000000000255,S2_Fade
2022-08-18 00:00:00+00:00,short,london,-100.00000000000644,loss,sl,8,3,1.4387452382459986,2.227999999999838,S2_Fade
2022-09-29 00:00:00+00:00,short,ny,-99.99999999999886,loss,sl,15,3,4.373175432251353,6.831500000000233,S2_Fade
2022-10-03 00:00:00+00:00,short,ny,-99.99999999999682,loss,sl,15,0,4.5146057028882245,7.016499999999951,S2_Fade
2022-12-07 00:00:00+00:00,short,ny,250.0,win,tp,15,2,3.0507095592741096,4.660500000000184,S2_Fade
2022-12-29 00:00:00+00:00,short,ny,-100.0000000000056,loss,sl,15,3,2.6490594824315536,4.101500000000215,S2_Fade
2023-01-04 00:00:00+00:00,long,ny,-100.00000000000095,loss,sl,15,2,3.484686709583164,8.033500000000231,S2_Fade
2023-01-05 00:00:00+00:00,long,london,-99.99999999999629,loss,sl,8,3,2.426566591970861,4.284999999999627,S2_Fade
2023-01-23 00:00:00+00:00,long,ny,250.0,win,tp,15,0,3.4379832900149156,5.2599999999997635,S2_Fade
2023-01-25 00:00:00+00:00,short,ny,-99.99999999999542,loss,sl,15,2,3.302610050586238,7.946499999999787,S2_Fade
2023-02-01 00:00:00+00:00,long,ny,154.4081978011242,win,sl,15,2,2.746604967256739,5.070000000000391,S2_Fade
2023-02-07 00:00:00+00:00,long,london,-99.99999999999558,loss,sl,8,1,2.0528308547748044,3.7200000000000273,S2_Fade
2023-02-08 00:00:00+00:00,long,london,-100.00000000000537,loss,sl,8,2,2.609264071812429,6.784500000000207,S2_Fade
2023-02-22 00:00:00+00:00,long,ny,-100.00000000000098,loss,sl,15,2,2.7756612060397585,4.50449999999978,S2_Fade
2023-02-28 00:00:00+00:00,long,london,-99.99999999999503,loss,sl,8,1,1.7712740772975692,3.3784999999998035,S2_Fade
2023-03-01 00:00:00+00:00,long,ny,153.18316086002457,win,sl,15,2,3.3291566513949156,8.914999999999964,S2_Fade
2023-03-08 00:00:00+00:00,long,ny,-99.99999999999933,loss,sl,15,2,2.36221414116343,4.402999999999793,S2_Fade
2023-03-09 00:00:00+00:00,short,ny,-99.99999999999497,loss,sl,15,3,2.5966618792044764,5.013499999999567,S2_Fade
2023-03-21 00:00:00+00:00,long,london,-100.00000000000165,loss,sl,8,1,3.2783264349401033,7.4284999999999854,S2_Fade
2023-05-10 00:00:00+00:00,long,ny,250.0,win,tp,15,2,4.339203944792531,7.5900000000001455,S2_Fade
2023-05-16 00:00:00+00:00,long,ny,-99.99999999999841,loss,sl,15,1,3.236180224088119,5.205000000000155,S2_Fade
2023-05-29 00:00:00+00:00,long,london,136.5719222733197,win,sl,8,0,1.573502727496909,3.384999999999536,S2_Fade
2023-06-05 00:00:00+00:00,short,london,-99.99999999999378,loss,sl,8,0,2.045883834452782,3.6250000000002274,S2_Fade
2023-10-18 00:00:00+00:00,long,ny,250.0,win,tp,15,2,4.144056576786455,8.75500000000011,S2_Fade
2023-10-19 00:00:00+00:00,short,london,78.26458708912102,win,sl,8,3,2.1885564214169504,5.0349999999998545,S2_Fade
2023-10-25 00:00:00+00:00,long,ny,250.0,win,tp,15,2,4.085155179187931,14.092000000000098,S2_Fade
2023-10-31 00:00:00+00:00,long,ny,-100.00000000000293,loss,sl,15,1,3.197192759962722,6.735000000000127,S2_Fade
2023-11-07 00:00:00+00:00,short,ny,-100.00000000000387,loss,sl,15,1,2.7609792998209977,5.136500000000069,S2_Fade
2023-11-22 00:00:00+00:00,short,london,187.68807626689443,win,sl,8,2,1.6558316039777439,2.7000000000000455,S2_Fade
2023-12-18 00:00:00+00:00,long,ny,104.9284642200975,win,sl,15,0,2.4034133735950904,3.910000000000082,S2_Fade
2023-12-21 00:00:00+00:00,long,ny,78.72620033680366,win,sl,15,3,3.1756216933003363,5.3250000000000455,S2_Fade
2024-01-03 00:00:00+00:00,short,ny,128.26227179342627,win,sl,15,2,4.214095771116553,10.871499999999969,S2_Fade
2024-01-08 00:00:00+00:00,long,london,-99.99999999999902,loss,sl,8,0,2.3993429834325175,3.6100000000001273,S2_Fade
2024-01-31 00:00:00+00:00,short,ny,250.0,win,tp,15,2,2.725737719634944,4.389999999999873,S2_Fade
2024-02-01 00:00:00+00:00,long,london,95.52251849932112,win,sl,8,3,1.8308408497602158,3.4349999999999454,S2_Fade
2024-02-01 00:00:00+00:00,long,ny,250.0,win,tp,15,3,3.67216312330749,6.059999999999945,S2_Fade
2024-02-22 00:00:00+00:00,short,london,250.0,win,tp,8,3,1.334900054897946,3.334999999999809,S2_Fade
2024-03-05 00:00:00+00:00,short,ny,-99.99999999999719,loss,sl,15,1,4.852206245308227,11.264999999999873,S2_Fade
2024-04-16 00:00:00+00:00,short,ny,-99.99999999999983,loss,sl,15,1,6.408228935846259,10.000499999999647,S2_Fade
2024-05-07 00:00:00+00:00,long,london,-100.00000000000708,loss,sl,8,1,2.8710226958964262,7.613499999999931,S2_Fade
2024-05-09 00:00:00+00:00,short,london,173.4958676532989,win,sl,8,3,2.370449708303364,3.699999999999818,S2_Fade
2024-07-11 00:00:00+00:00,short,london,-100.00000000000506,loss,sl,8,3,2.0624358679293433,4.163500000000113,S2_Fade
2024-08-20 00:00:00+00:00,short,london,-100.00000000000315,loss,sl,8,1,3.580970844435294,6.617000000000189,S2_Fade
2024-10-07 00:00:00+00:00,short,london,80.89825975163423,win,sl,8,0,2.832079558717514,4.301500000000033,S2_Fade
2024-10-23 00:00:00+00:00,long,ny,250.0,win,tp,15,2,5.6104728662280605,8.942999999999756,S2_Fade
2024-10-30 00:00:00+00:00,long,ny,82.19211664985406,win,sl,15,2,4.53344518170493,8.42850000000044,S2_Fade
2024-11-12 00:00:00+00:00,short,london,250.0,win,tp,8,1,4.924147328127196,8.250500000000102,S2_Fade
2024-11-13 00:00:00+00:00,long,ny,83.33400160107416,win,sl,15,2,4.8176544253054505,8.452000000000226,S2_Fade
2024-12-23 00:00:00+00:00,long,london,-99.9999999999944,loss,sl,8,0,2.6433395458643827,4.236499999999978,S2_Fade
2025-02-03 00:00:00+00:00,short,ny,123.92910675499253,win,sl,15,0,6.54782378927203,19.021499999999833,S2_Fade
2025-02-12 00:00:00+00:00,long,london,-100.00000000000229,loss,sl,8,2,4.169964758255221,10.11999999999989,S2_Fade
2025-02-24 00:00:00+00:00,short,london,91.5667505212514,win,sl,8,0,4.051597048456161,8.404999999999745,S2_Fade
2025-02-26 00:00:00+00:00,short,london,-99.99999999999233,loss,sl,8,2,4.176171798705383,9.236499999999978,S2_Fade
2025-03-06 00:00:00+00:00,long,london,-99.99999999999787,loss,sl,8,3,5.473731079174143,15.879999999999654,S2_Fade
2025-05-15 00:00:00+00:00,long,london,250.0,win,tp,8,3,11.23381059828347,45.82499999999982,S2_Fade
2025-06-12 00:00:00+00:00,long,london,250.0,win,tp,8,3,6.741811983045491,28.835000000000036,S2_Fade
2025-06-16 00:00:00+00:00,long,ny,-100.00000000000038,loss,sl,15,0,7.535118852883219,21.246500000000196,S2_Fade
2025-07-08 00:00:00+00:00,long,ny,89.68244387796433,win,sl,15,1,7.629550687453348,28.081499999999778,S2_Fade
2025-07-10 00:00:00+00:00,long,ny,-99.99999999999478,loss,sl,15,3,4.244728672910723,10.586499999999887,S2_Fade
2025-07-28 00:00:00+00:00,long,ny,81.87506723886226,win,sl,15,0,5.178061002390633,29.33550000000014,S2_Fade
2025-07-29 00:00:00+00:00,short,ny,110.22983170076502,win,sl,15,1,5.5558585830435705,16.591499999999996,S2_Fade
2025-08-14 00:00:00+00:00,long,london,-100.00000000000196,loss,sl,8,3,4.979392788484574,20.55749999999989,S2_Fade
2025-09-02 00:00:00+00:00,long,london,250.0,win,tp,8,1,6.475161216407883,24.965000000000146,S2_Fade
