date,direction,session,pnl,outcome,reason,hour,dow,atr,strategy
2024-04-10,long,ema_pull,-100.00000000000091,loss,sl,15,2,7.782469098307885,S1_EMA_Pullback
2024-04-11,long,ema_pull,-100.0000000000028,loss,sl,10,3,3.587064224260202,S1_EMA_Pullback
2024-04-17,long,ema_pull,-99.9999999999969,loss,sl,18,2,5.6811919716594215,S1_EMA_Pullback
2024-04-29,long,ema_pull,-100.0000000000004,loss,sl,19,0,3.72056214609573,S1_EMA_Pullback
2024-05-01,short,ema_pull,-99.99999999999696,loss,sl,19,2,6.7547990557820645,S1_EMA_Pullback
2024-05-07,long,ema_pull,-100.00000000000684,loss,sl,9,1,2.63989289390138,S1_EMA_Pullback
2024-05-13,long,ema_pull,121.06778791183316,win,sl,11,0,3.0406075062366624,S1_EMA_Pullback
2024-05-27,short,ema_pull,-99.99999999999712,loss,sl,15,0,2.662368055621377,S1_EMA_Pullback
2024-05-28,short,ema_pull,300.0,win,tp,2,1,2.144139542470407,S1_EMA_Pullback
2024-05-30,short,ema_pull,-99.9999999999973,loss,sl,14,3,3.9869882394278813,S1_EMA_Pullback
2024-06-11,short,ema_pull,193.1988266669659,win,sl,22,1,2.1176089007421104,S1_EMA_Pullback
2024-06-17,short,ema_pull,-99.99999999999642,loss,sl,18,0,2.778972698599418,S1_EMA_Pullback
2024-06-18,short,ema_pull,-100.00000000000242,loss,sl,13,1,3.7282668194460715,S1_EMA_Pullback
2024-06-24,short,ema_pull,-100.00000000000637,loss,sl,19,0,2.2238875405494984,S1_EMA_Pullback
2024-06-25,short,ema_pull,159.6297383886661,win,sl,11,1,2.444786717473275,S1_EMA_Pullback
2024-07-02,long,ema_pull,201.25239418598758,win,sl,4,1,1.778490515275443,S1_EMA_Pullback
2024-07-24,long,ema_pull,-100.00000000000229,loss,sl,9,2,2.4837131876656144,S1_EMA_Pullback
2024-07-30,short,ema_pull,-100.00000000000277,loss,sl,4,1,2.27260058414634,S1_EMA_Pullback
2024-08-05,long,ema_pull,233.76008121235193,win,sl,2,0,7.3001811641355525,S1_EMA_Pullback
2024-08-15,long,ema_pull,118.3527293831848,win,sl,14,3,6.013267522950746,S1_EMA_Pullback
2024-08-21,long,ema_pull,-100.00000000000475,loss,sl,13,2,3.716589837758698,S1_EMA_Pullback
2024-08-22,long,ema_pull,-99.99999999999652,loss,sl,9,3,2.978365015292742,S1_EMA_Pullback
2024-08-29,long,ema_pull,118.02409088665233,win,sl,13,3,3.878312904782244,S1_EMA_Pullback
2024-09-10,long,ema_pull,-99.99999999999639,loss,sl,2,1,1.7026264070560206,S1_EMA_Pullback
2024-09-11,long,ema_pull,300.0,win,tp,19,2,3.2540850674998656,S1_EMA_Pullback
2024-09-12,long,ema_pull,105.42246250720054,win,sl,0,3,1.7027783225845043,S1_EMA_Pullback
2024-09-18,long,ema_pull,-100.00000000000138,loss,sl,7,2,2.0761315028689467,S1_EMA_Pullback
2024-10-03,long,ema_pull,-100.00000000000186,loss,sl,13,3,3.65275785216902,S1_EMA_Pullback
2024-10-10,short,ema_pull,107.44448296407197,win,sl,14,3,5.011290234794031,S1_EMA_Pullback
2024-10-15,long,ema_pull,169.11059017562627,win,sl,6,1,2.5535050567455255,S1_EMA_Pullback
2024-10-24,long,ema_pull,145.23187666489125,win,sl,14,3,4.074641977475334,S1_EMA_Pullback
2024-10-28,long,ema_pull,-99.99999999999454,loss,sl,2,0,3.6062249110516102,S1_EMA_Pullback
2024-12-02,short,ema_pull,-99.99999999999662,loss,sl,12,0,4.077345759471565,S1_EMA_Pullback
