entry,sl,initial_sl,tp,size,direction,session,pnl,year,equity,static_dd,dist_to_floor
1652.9050000000002,1647.1072743372283,1647.1072743372283,1722.4777079532628,17.24814277469455,LONG,asian,-100.0,2020,11500.0,-15.0,2500.0
1646.6715000000002,1639.7151398493766,1639.7151398493766,1730.1478218074833,14.37533391525676,LONG,asian,-100.0,2020,11400.0,-14.000000000000002,2400.0
1641.8235,1637.5492633904173,1637.5492633904173,1693.1143393149919,23.39599070762817,LONG,asian,-100.0,2020,11300.0,-13.0,2300.0
1641.4465,1674.2081201479587,1633.2560949630104,1739.731360443876,12.20940839291563,LONG,london,400.0,2020,11700.0,-17.0,2700.0
1647.3765,1667.6351534739317,1637.2471732630343,1768.92842084359,9.87232444927079,LONG,asian,200.0,2020,11900.0,-19.0,2900.0
1668.6335,1653.5642904840415,1653.5642904840415,1849.4640141915006,6.636048154622799,LONG,ny,-100.0,2020,11800.0,-18.0,2800.0
1685.5665,1663.564416333998,1663.564416333998,1949.5915039920228,4.545024076720613,LONG,asian,-100.0,2020,11700.0,-17.0,2700.0
1682.7165,1657.6813511757564,1657.6813511757564,1983.1382858909233,3.994384083835033,LONG,london,-100.0,2020,11600.0,-16.0,2600.0
1564.8500000000001,1604.995597938648,1544.7772010306762,1805.723587631887,4.981866263535253,LONG,ny,200.0,2020,11800.0,-18.0,2800.0
1528.5865,1574.0205256422878,1483.152474357712,2073.7948077074548,2.2009936074633147,LONG,london,100.0,2020,11900.0,-19.0,2900.0
1619.905,1647.3299306940096,1606.1925346529952,1784.4545841640577,7.292634655360703,LONG,london,200.0,2020,12100.0,-21.0,3100.0
1664.6599999999999,1728.5773151858916,1655.528954973444,1774.2325403186715,10.95164898532078,LONG,london,700.0,2020,12800.0,-28.000000000000004,3800.0
1615.235,1719.579682574725,1602.1919146781593,1771.7520238620875,7.666897634453873,LONG,ny,800.0,2020,13600.0,-36.0,4600.0
1730.2849999999999,1713.544034096021,1713.544034096021,1931.1765908477455,5.9733709854957135,LONG,london,-100.0,2020,13500.0,-35.0,4500.0
1528.5865,1692.302602569152,1487.6574743577119,2019.7348077074562,2.443253862771647,LONG,asian,400.0,2020,13900.0,-39.0,4900.0
1734.6399999999999,1719.1711198829566,1719.1711198829566,1920.2665614045186,6.46459208703948,LONG,ny,-100.0,2020,13800.0,-38.0,4800.0
1709.6599999999999,1689.5618428189653,1689.5618428189653,1950.837886172415,4.975580551950499,LONG,london,-100.0,2020,13700.0,-37.0,4700.0
1719.0765,1694.5072844126084,1694.5072844126084,2013.9070870486973,4.070134011576604,LONG,ny,-100.00000000000001,2020,13600.0,-36.0,4600.0
1715.9615,1753.012611374253,1706.6987221564366,1827.1148341227595,10.79589748225366,LONG,ny,400.0,2020,14000.0,-40.0,5000.0
1746.4865,1739.0801851187368,1739.0801851187368,1835.3622785751577,13.501991422614894,LONG,ny,-100.0,2020,13900.0,-39.0,4900.0
1741.4185,1733.8210519232953,1733.8210519232953,1832.5878769204567,13.162314370613439,LONG,ny,-100.0,2020,13800.0,-38.0,4800.0
1719.0765,1689.2087844126086,1689.2087844126086,2077.489087048696,3.348096700178002,LONG,london,-100.0,2020,13700.0,-37.0,4700.0
1709.6599999999999,1677.9418428189654,1677.9418428189654,2090.2778861724137,3.152768284400642,LONG,asian,-100.0,2020,13600.0,-36.0,4600.0
1711.6865,1728.5442644712514,1706.0672451762496,1779.1175578850055,17.79595393633655,LONG,london,300.0,2020,13900.0,-39.0,4900.0
1707.0565,1721.654332117885,1692.458667882115,1882.2304854146198,6.850332240599059,LONG,asian,100.0,2020,14000.0,-40.0,5000.0
1729.1535,1711.5622396507104,1711.5622396507104,1940.2486241914744,5.684641010047851,LONG,ny,-100.0,2020,13900.0,-39.0,4900.0
