date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2020-03-09,long,103.9479861851857,win,sl,16,0,2020,2020-03,1661.8749999999998,7.838595244732319
2020-03-11,short,-100.00000000000094,loss,sl,1,2,2020,2020-03,1661.8700000000001,4.515857779741013
2020-03-11,long,-100.00000000000273,loss,sl,8,2,2020,2020-03,1658.255,3.4850683379771863
2020-03-11,long,-100.00000000000036,loss,sl,18,2,2020,2020-03,1641.6119999999999,4.225934824276677
2020-03-12,long,107.77331201225553,win,sl,0,3,2020,2020-03,1639.96,4.194262086706326
2020-03-12,short,250.0,win,tp,1,3,2020,2020-03,1649.0234999999998,4.165927281820578
2020-03-12,long,131.6608691115993,win,sl,3,3,2020,2020-03,1633.0684999999999,4.385682094563718
2020-03-18,short,83.04094127498144,win,sl,17,2,2020,2020-03,1488.0900000000001,9.309909271906124
2020-03-19,short,123.94391080005742,win,sl,0,3,2020,2020-03,1495.865,8.838388647243935
2020-03-25,long,199.26262679916002,win,sl,8,2,2020,2020-03,1599.11,7.749434271472882
2020-03-25,long,-99.9999999999989,loss,sl,11,2,2020,2020-03,1599.11,9.970567227472085
2020-03-26,long,193.3872887811981,win,sl,7,3,2020,2020-03,1599.11,5.973547262494708
2020-03-26,long,250.0,win,tp,7,3,2020,2020-03,1599.11,6.101151029459371
2020-03-30,long,98.69569762738753,win,sl,3,0,2020,2020-03,1614.4205,5.173195796798312
2020-03-31,long,-99.99999999999928,loss,sl,7,1,2020,2020-03,1614.521,3.3745957176722885
2020-04-01,short,-100.00000000000178,loss,sl,19,2,2020,2020-04,1594.24,5.796285367994766
2020-04-08,long,121.87105152517195,win,sl,6,2,2020,2020-04,1644.2699999999998,3.1506560017661585
2020-04-08,long,-100.0000000000008,loss,sl,18,2,2020,2020-04,1647.9099999999999,3.534533807768156
2020-04-09,long,94.02105762388045,win,sl,4,3,2020,2020-04,1647.9099999999999,2.8771598048580773
2020-04-12,long,-99.99999999999844,loss,sl,22,6,2020,2020-04,1677.27,4.880505769835812
2020-04-13,long,92.86136752293717,win,sl,11,0,2020,2020-04,1687.0149999999999,3.468653142685863
2020-04-13,long,-100.00000000000071,loss,sl,12,0,2020,2020-04,1687.0149999999999,3.688487720092527
2020-04-15,long,-100.00000000000261,loss,sl,8,2,2020,2020-04,1714.1200000000001,4.176671445612219
2020-04-15,long,166.66196108103605,win,sl,8,2,2020,2020-04,1710.3200000000002,4.161385073002377
2020-04-16,long,250.0,win,tp,10,3,2020,2020-04,1720.58,3.493597809644621
2020-04-16,long,-99.99999999999793,loss,sl,18,3,2020,2020-04,1713.7715,5.339396824810248
2020-04-20,short,114.16229886058318,win,sl,6,0,2020,2020-04,1683.905,4.284445710019444
2020-04-20,short,134.03856634323574,win,sl,17,0,2020,2020-04,1697.42,4.597544192716076
2020-04-20,long,-100.00000000000078,loss,sl,23,0,2020,2020-04,1691.9335,3.1540525153497794
2020-04-21,long,-99.99999999999991,loss,sl,9,1,2020,2020-04,1673.7200000000003,4.996267509392514
2020-04-21,short,-99.99999999999832,loss,sl,10,1,2020,2020-04,1683.905,5.0805698301502105
2020-04-23,long,250.0,win,tp,5,3,2020,2020-04,1711.9800000000002,2.9132472794789095
2020-05-05,long,-99.99999999999748,loss,sl,10,1,2020,2020-05,1697.6715,2.8479954368627465
2020-05-05,long,-99.99999999999808,loss,sl,11,1,2020,2020-05,1697.6715,2.774925282356943
2020-05-05,short,-99.99999999999827,loss,sl,17,1,2020,2020-05,1704.2314999999999,3.359216169691821
2020-05-05,short,92.59462531537943,win,sl,20,1,2020,2020-05,1708.6200000000001,2.7075003918607874
2020-05-06,short,-100.00000000000335,loss,sl,6,2,2020,2020-05,1704.2314999999999,1.962135451835527
2020-05-11,long,137.44586343822377,win,sl,10,0,2020,2020-05,1696.425,3.8969632010652138
2020-05-11,short,-100.00000000000162,loss,sl,20,0,2020,2020-05,1698.795,3.34822571151125
2020-05-11,short,-99.99999999999854,loss,sl,20,0,2020,2020-05,1698.795,3.2101381606890316
2020-05-12,long,-99.99999999999821,loss,sl,23,1,2020,2020-05,1702.955,2.6559639280013037
2020-05-13,long,-100.00000000000355,loss,sl,1,2,2020,2020-05,1701.8149999999998,2.305109923860673
2020-05-13,long,-99.9999999999968,loss,sl,4,2,2020,2020-05,1702.955,2.208030643584905
2020-05-13,short,89.54515472390769,win,sl,5,2,2020,2020-05,1705.045,1.8101796280980942
2020-05-18,long,-100.00000000000297,loss,sl,8,0,2020,2020-05,1759.8714999999997,2.8448149558461475
2020-05-18,long,-99.99999999999642,loss,sl,9,0,2020,2020-05,1759.8714999999997,2.8108996018571455
