date,direction,session,pnl,outcome,reason,hour,dow,atr,level,strategy
2020-05-07,long,sr_bounce,-100.00000000000027,loss,sl,2,3,2.6685279950802325,1690.27,S3_SR_Bounce
2020-05-11,long,sr_bounce,114.87044205799066,win,sl,15,0,4.177685498939223,1692.1634999999999,S3_SR_Bounce
2020-05-12,long,sr_bounce,159.95537363130776,win,sl,19,1,2.563822070344721,1698.511,S3_SR_Bounce
2020-05-13,long,sr_bounce,157.1537309351314,win,sl,9,2,1.7973284011378337,1699.8684999999998,S3_SR_Bounce
2020-05-14,long,sr_bounce,141.53675455967897,win,sl,5,3,1.9657176358889448,1711.8400000000001,S3_SR_Bounce
2020-05-18,long,sr_bounce,130.62624945269368,win,sl,17,0,5.185896090655894,1727.7565,S3_SR_Bounce
2020-05-21,long,sr_bounce,91.51511758015964,win,sl,14,3,3.7816945241815842,1717.2835,S3_SR_Bounce
2020-05-25,long,sr_bounce,-100.0000000000021,loss,sl,2,0,3.162190339492942,1726.6200000000001,S3_SR_Bounce
2020-05-26,short,sr_bounce,250.0,win,tp,1,1,1.8201749035323231,1732.6934999999999,S3_SR_Bounce
2020-05-26,long,sr_bounce,-99.99999999999945,loss,sl,11,1,2.31980934666923,1723.8865,S3_SR_Bounce
2020-05-27,short,sr_bounce,209.4728344295673,win,sl,0,2,2.7191337347455438,1713.9885,S3_SR_Bounce
2020-05-28,short,sr_bounce,-99.99999999999967,loss,sl,0,3,2.7390671721077613,1713.9885,S3_SR_Bounce
2020-06-02,long,sr_bounce,-99.99999999999683,loss,sl,6,1,2.2602842355086783,1734.9035000000001,S3_SR_Bounce
2020-06-03,long,sr_bounce,126.480095322523,win,sl,15,2,4.894278793038072,1692.295,S3_SR_Bounce
2020-06-04,short,sr_bounce,171.73855865915863,win,sl,18,3,2.7800793758475644,1720.1965,S3_SR_Bounce
2020-06-09,short,sr_bounce,93.74775593536104,win,sl,14,1,3.183604816560366,1720.1965,S3_SR_Bounce
2020-06-10,long,sr_bounce,-100.00000000000003,loss,sl,15,2,2.9447391649089236,1713.22,S3_SR_Bounce
2020-06-11,long,sr_bounce,189.68477152199333,win,sl,19,3,4.60326556695019,1723.1950000000002,S3_SR_Bounce
2020-06-15,long,sr_bounce,-99.99999999999997,loss,sl,12,0,3.314577887571205,1708.0535000000002,S3_SR_Bounce
2020-06-16,long,sr_bounce,-100.0000000000015,loss,sl,12,1,3.2097561906941308,1723.1950000000002,S3_SR_Bounce
2020-06-17,long,sr_bounce,123.99757005338732,win,sl,1,2,2.5204641743498017,1723.1950000000002,S3_SR_Bounce
2020-06-22,long,sr_bounce,250.0,win,tp,8,0,3.0732197759023006,1745.0794999999998,S3_SR_Bounce
2020-06-23,long,sr_bounce,140.03548682827923,win,sl,5,1,2.461459170117194,1750.4165,S3_SR_Bounce
2020-07-06,long,sr_bounce,250.0,win,tp,4,0,1.3792002635132332,1771.5185000000001,S3_SR_Bounce
2020-07-14,long,sr_bounce,167.5541941168062,win,sl,2,1,1.867704970499517,1796.6934999999999,S3_SR_Bounce
2020-07-14,short,sr_bounce,95.10886183838353,win,sl,19,1,2.0724029215415394,1810.22,S3_SR_Bounce
2020-07-16,long,sr_bounce,92.25072740541282,win,sl,20,3,2.1561318080759,1795.41,S3_SR_Bounce
2020-07-20,long,sr_bounce,127.40997037184898,win,sl,2,0,1.3469926522244775,1806.66,S3_SR_Bounce
2020-08-03,long,sr_bounce,-100.00000000000007,loss,sl,12,0,2.6811630221172873,1965.9685,S3_SR_Bounce
2020-08-04,long,sr_bounce,250.0,win,tp,13,1,2.5109441902578684,1971.4835,S3_SR_Bounce
2020-08-12,short,sr_bounce,250.0,win,tp,8,2,10.6665788532313,1949.6565,S3_SR_Bounce
2020-08-13,short,sr_bounce,-99.99999999999882,loss,sl,15,3,7.26896440291452,1949.6565,S3_SR_Bounce
2020-08-16,short,sr_bounce,202.02656119376707,win,sl,22,6,4.6160222848664745,1951.5935,S3_SR_Bounce
2020-08-18,long,sr_bounce,250.0,win,tp,0,1,4.043015295849797,1980.8615,S3_SR_Bounce
2020-08-19,long,sr_bounce,-99.9999999999987,loss,sl,18,2,8.108083201837067,1933.475,S3_SR_Bounce
2020-08-20,short,sr_bounce,250.0,win,tp,4,3,7.188449734966506,1955.4099999999999,S3_SR_Bounce
2020-08-26,short,sr_bounce,167.39265697675327,win,sl,23,2,4.847326875766226,1954.2485,S3_SR_Bounce
2020-08-27,long,sr_bounce,250.0,win,tp,14,3,10.269592868842985,1914.7015,S3_SR_Bounce
