entry,sl,initial_sl,tp,size,direction,session,pnl,year,price_move,pnl_fixed,rsk_pts,risk_fixed,equity,dd_pct,static_dd_pct
1577.4715,1563.4237424146322,1563.4237424146322,1746.0445910244148,7.118573864355387,LONG,asian,-100.0,2020,-14.04775758536789,-28.09551517073578,14.04775758536789,28.09551517073578,9998.973825449852,0.2801966777762006,0.010261745501484256
1589.8490000000002,1579.8171823515056,1579.8171823515056,1710.2308117819348,9.968283266692625,LONG,ny,-100.0,2020,-10.031817648494552,-20.063635296989105,10.031817648494552,20.063635296989105,9978.910190152861,0.48029138756055234,0.21089809847138893
1575.9015,1606.223451590097,1571.569792629986,1627.8819884401664,23.085585303441153,LONG,asian,700.0,2020,30.32195159009711,60.64390318019422,4.3317073700138735,8.663414740027747,10039.554093333056,0.0,-0.39554093333055795
1601.4315,1666.4647079670146,1588.424858406597,1757.5111991208353,7.688379762130191,LONG,ny,500.0,2020,65.03320796701473,130.06641593402946,13.006641593402946,26.013283186805893,10169.620509267086,0.0,-1.6962050926708616
1618.3665,1668.4779711143465,1605.8386322214135,1768.7009133430392,7.982204295844035,LONG,london,400.0,2020,50.11147111434639,100.22294222869277,12.527867778586597,25.055735557173193,10269.843451495777,0.0,-2.6984345149577713
1634.7935,1669.063941206708,1623.370019597764,1771.875264826832,8.753899554152182,LONG,asian,300.0,2020,34.27044120670803,68.54088241341606,11.42348040223601,22.84696080447202,10338.384333909195,0.0,-3.383843339091945
1645.4799999999998,1639.5383743870036,1639.5383743870036,1716.779507355954,16.830410819097892,LONG,asian,-100.0,2020,-5.941625612996177,-11.883251225992353,5.941625612996177,11.883251225992353,10326.501082683202,0.11494302051642732,-3.2650108268320217
1649.1599999999999,1642.7850666869626,1642.7850666869626,1725.6591997564465,15.686438600932888,LONG,london,-100.0,2020,-6.374933313037218,-12.749866626074436,6.374933313037218,12.749866626074436,10313.751216057128,0.23826854425668667,-3.1375121605712777
1652.9050000000002,1647.1072743372283,1647.1072743372283,1722.4777079532628,17.24814277469455,LONG,asian,-100.0,2020,-5.797725662771882,-11.595451325543763,5.797725662771882,11.595451325543763,10302.155764731584,0.3504277651855457,-3.02155764731584
1646.6715000000002,1639.7151398493766,1639.7151398493766,1730.1478218074833,14.37533391525676,LONG,asian,-100.0,2020,-6.9563601506235955,-13.912720301247191,6.9563601506235955,13.912720301247191,10288.243044430335,0.4850012135300398,-2.8824304443033544
1641.8235,1637.5492633904173,1637.5492633904173,1693.1143393149919,23.39599070762817,LONG,asian,-100.0,2020,-4.274236609582658,-8.548473219165317,4.274236609582658,8.548473219165317,10279.69457121117,0.5676879558977703,-2.796945712111701
1641.4465,1674.2081201479587,1633.2560949630104,1739.731360443876,12.20940839291563,LONG,london,400.0,2020,32.76162014795864,65.52324029591728,8.19040503698966,16.38081007397932,10345.21781150709,0.0,-3.452178115070892
1647.3765,1667.6351534739317,1637.2471732630343,1768.92842084359,9.87232444927079,LONG,asian,200.0,2020,20.258653473931645,40.51730694786329,10.129326736965822,20.258653473931645,10385.735118454952,0.0,-3.8573511845495156
1668.6335,1653.5642904840415,1653.5642904840415,1849.4640141915006,6.636048154622799,LONG,ny,-100.0,2020,-15.069209515958391,-30.138419031916783,15.069209515958391,30.138419031916783,10355.596699423035,0.29019052275233037,-3.555966994230348
